Archivo;Extension;Tipo;Dominio
01. Doc Maestro AE.pdf;pdf;;0. General
02. Modelo Gestion Proyectos TI.pdf;pdf;;0. General
03. Modelo Gestion y Gobierno TI.pdf;jpg;;0. General
04. MarcoReferenciaGEAR.JPG;pdf;;0. General
05. LineamientosMarco.pdf;pdf;;0. General
06. Evidencias Marco.pdf;pdf;;0. General
07. Estandares Marco.pdf;pdf;;0. General
08. Generalidades Marco.pdf;pdf;;0. General
09. Puntos Vista.pdf;pdf;;0. General
10. Glosario AE.pdf;pdf;;0. General
11. AE Evidencias Marco.pdf;pdf;;0. General
12. AE Modelo Gestion.pdf;pdf;;0. General
13. AE MODELO IT4Plus.docx;docx;;0. General
14. AE_Lineamientos.pdf;pdf;;0. General
15. AE_Lineamientos-1.pdf;pdf;;0. General
16. Caracterizaci¢n GTSI_01_PTI.docx;docx;;0. General
17. Caracterizaci¢n_GTSI.docx;docx;;0. General
20. generalidades Marco.pdf;pdf;;0. General
21. glosario AE.pdf;pdf;;0. General
22. GLOSARIO IT4+.pdf;pdf;;0. General
23. Generar plan estratÇgico PETI.vsd;vsd;;0. General
24. Definir, expedir y  evaluar pol°ticas de TI.vsd;vsd;;0. General
25. Consolidar planes, programas y proyectos.vsd;vsd;;0. General
26. Seguimiento al  desarrollo de planes, programas y proyectos.vsd;vsd;;0. General
27. principios AE.pdf;pdf;;0. General
28. Evaluaci¢n de tecnolog°as emergentes.vsd;vsd;;0. General
29. Definir acuerdos de desarrollo.vsd;vsd;;0. General
30. Desarrollo de sistemas de informacion.vsd;vsd;;0. General
31. Mantenimiento de sistemas de informacion.vsd;vsd;;0. General
32. Implantacion de sistemas de informacion.vsd;vsd;;0. General
33. Adm cap del servicio - Gestion de Capacidad.vsd;vsd;;0. General
34. Adm cap del servicio - Gestion de  disponibilidad.vsd;vsd;;0. General
35. Adm cap del servicio - Gestion de continuidad.vsd;vsd;;0. General
36. Puesta en produccion u Operacion - Gestion de entrega.vsd;vsd;;0. General
37. Puesta en produccion y operacion -  Gestion de seguridad.vsd;vsd;;0. General
38. Control de cambios - cambios Normales.vsd;vsd;;0. General
39. Control de cambios - Cambios urgentes.vsd;vsd;;0. General
40. Control de cambios - Cambios Estandar.vsd;vsd;;0. General
41. Adm la operacion - Gestion de incidentes y mesa de servicio.vsd;vsd;;0. General
42. Administrar la operacion - Gestion de eventos.vsd;vsd;;0. General
43. Administrar la operacion - Gestion de problemas.vsd;vsd;;0. General
44. Identificacion de informaci¢n.vsd;vsd;;0. General
45. consolidacion de informaci¢n.vsd;vsd;;0. General
46. disposicion de informaci¢n.vsd;vsd;;0. General
47. Herramientas AE.pdf;pdf;;0. General
48. Indicadores de gestion IT4+.xlsx;xlsx;;0. General
49. Indicadores IT4+.doc;doc;;0. General
50. Entrevista Estrategia.pdf;pdf;;0. General
51. Rupturas Estrategicas.pdf;pdf;;0. General
52. Madurez de la Gestion CON TI.pdf;pdf;;0. General
53. Objetivos Estrategicos.pdf;pdf;;0. General
54. Transformaciones de negocio.pdf;pdf;;0. General
55. Capacidades Requeridas de TI.pdf;pdf;;0. General
56. Plan Maestro TI.pdf;pdf;;0. General
57. Plan de inversion.pdf;pdf;;0. General
58. Portafolio de proyectos.pdf;pdf;;0. General
59. Seguimiento ejecucion financiera.pdf;pdf;;0. General
60. Indicadores.pdf;pdf;;0. General
61. Entrevista Estrategia.xlsx;xlsx;;0. General
62. Rupturas Estrategicas.xlsx;xlsx;;0. General
63. Madurez de la Gesti¢n CON TI.xlsx;xlsx;;0. General
64. ALINEACI‡N_TRANSFORMACI‡N_PLANMAESTRO.xlsx;xlsx;;0. General
65. PROYECTOS _PLANINVERSION_SEGFINANCIERO_INDICADORES.xlsx;xlsx;;0. General
66. modeloGear2018.png;png;;0. General
67. Guia para la Admin del Riesgo - DAFP -MECI 2018;pdf;;0. General
68. Politica Explotacion Datos Dominio de Informacion 3920;pdf;;0. General
